ISBN,Category
0440234743,Legal Thriller
0452264464,Literary Fiction
0971880107,Action & Adventure
0345417623,Science Fiction
0446310786,Classic Literature
0449005615,Narrative Nonfiction
0671888587,Suspense Thriller
0440225701,Legal Thriller
042511774X,Literary Fiction
0804106304,Literary Fiction
0140067477,Philosophy / Self-Help
0345465083,Narrative Nonfiction
0679429220,True Crime
0451166892,Historical Fiction
0786868716,Literary Fiction
0446612545,Mystery Thriller
0671027360,Religious Thriller
0060976845,Southern Gothic
0671004573,Suspense Thriller
038572179X,Historical Fiction
0446527165,Family Saga
0060977493,Literary Fiction
0345378490,Science Fiction
0375705856,Literary Fiction
0380717018,Crime Fiction
0380718332,Crime Fiction
0385730586,Young Adult Fiction
0446605484,Mystery Thriller
0446610399,Romantic Drama
0449911004,Literary Fiction
0452282152,Historical Fiction
155874262X,Self-Help
0060987103,Fantasy Fiction
0151008116,Literary Fiction
0804111359,Psychological Thriller
1558744150,Self-Help
044023722X,Legal Drama
0380730138,Literary Fiction
0142001740,Historical Fiction
038542471X,Legal Thriller
006101351X,Narrative Nonfiction
0440224675,Psychological Thriller
044021145X,Legal Thriller
0345424719,Literary Fiction
0375726403,Literary Fiction
0440226104,Suspense Thriller
0671021001,Literary Fiction
0805063897,Social Commentary
0671002481,Humorous Fiction
0842329129,Religious Fiction
0060915544,Literary Fiction
0312195516,Biblical Fiction
0312278586,Humorous Fiction
0156027321,Literary Fiction
0449907481,Literary Fiction
055356451X,Romantic Suspense
0446394521,Humorous Fiction
068484267X,Memoir
0060938455,Social Commentary
0440122090,Women's Fiction
0061009059,Crime Fiction
0446364193,Mystery Thriller
0446672211,Women's Fiction
0140293248,Romantic Comedy
0142000205,Southern Gothic
0385504209,Mystery Thriller
0385505833,Humorous Fiction
0446531332,Romantic Drama
0316776963,Humorous Nonfiction
0345391802,Science Fiction / Humor
0440211727,Legal Thriller
044022165X,Legal Thriller
0394820371,Children's Fantasy
0449134482,Historical Fiction
0345348036,Fantasy Fiction
0671510053,Literary Fiction
0743237188,Historical Fiction
0345443284,Suspense Thriller
0553273914,Magical Realism
0060928336,Southern Gothic
0671003755,Literary Fiction
0446601241,Mystery Thriller
0345384466,Gothic Horror
0380789035,Urban Fantasy
0440206154,Psychological Thriller
0345370775,Science Fiction
0380789019,Urban Fantasy
0380018179,Family Saga
1573225789,Memoir
0385335881,Humorous Fiction
0385335482,Humorous Fiction
0446606812,Romantic Drama
0060930535,Historical Fiction
0375702709,Literary Fiction
0671038184,Southern Gothic
0060916508,Classic Literature
0345361792,Literary Fiction
1400034779,Cozy Mystery
0786885688,Literary Fiction
0767902521,Travel Narrative
080410753X,Literary Fiction
0140244824,Literary Fiction
014025448X,Inspirational Fiction
0060934417,Literary Fiction
0440224624,Suspense Thriller
0743418174,Humorous Fiction
0375703055,Literary Fiction
0312243022,Literary Fiction
0375700757,Historical Fiction
0070212570,Humorous Fiction
0375725784,Memoir
0671042262,Mystery Thriller
0679731148,Travel Narrative
0440226430,Young Adult Fiction
089480829X,Health & Wellness
0688177751,Humorous Fiction
0375707972,Literary Fiction
0399501487,Classic Literature
0440224764,Legal Thriller
0553572997,Historical Thriller
0440236673,Legal Thriller
0440235162,Romantic Drama
0425158616,Crime Fiction
0425169863,Crime Fiction
0345380371,Mystery Thriller
0446610038,Mystery Thriller
0385492081,Adventure Nonfiction
067976402X,Historical Fiction
0425167313,Literary Fiction
034540288X,Science Fiction
0449212602,Dystopian Fiction
